DTXSID,GUID
DTXSID00209157,9e7e0170-a481-4363-990c-ab8ec595bcf7
DTXSID00209157,34134d05-00dd-4b3e-9aa9-210880d8241f
DTXSID00209293,e2b3ab70-effb-4584-b775-f4f0adbba69d
DTXSID00209516,314a332e-eb9f-488e-b877-5b599f3da6ae
DTXSID00210420,68fc642a-f6f2-4926-8e60-678b82f4b48a
DTXSID0021096,ca6ef7ce-74db-49f3-92a3-3c33037e5725
DTXSID0021337,97baf2d1-59e8-41da-8f33-fafd1d83973d
DTXSID0021337,9d1ecd3c-d2b4-4686-99ed-244bbc851c14
DTXSID0021337,0262a5aa-edec-41ef-9762-762620379089
DTXSID0021337,12564ae3-d11d-4dcc-a7be-1b754868f62d
DTXSID0021414,427585d8-e537-4893-860f-be0cb6870e20
DTXSID0021418,f1c58f44-7e08-4c1b-8da6-a326451437d6
DTXSID0021460,e4fe0447-765f-4b25-97f1-bfc5cdbfa829
DTXSID0021460,4b703e9e-6ee4-4785-8b98-a7b581164669
DTXSID0021460,905888bf-7976-40f9-9b5f-43b06485ea29
DTXSID0021595,37176e84-d977-4993-bc49-d76fcfc6e625
DTXSID00216205,827f2b36-7016-48a2-a15b-79b61385375c
DTXSID00216205,37d316a4-3faf-4217-aa27-241fbb9e5a02
DTXSID0021709,621570db-4dcc-4dcb-b032-378fa6d79654
DTXSID0021709,4ed41517-d922-46b5-a213-3ac2fd3c0dcd
DTXSID0021830,820bc51d-db3a-4fa6-87d0-286213f36e53
DTXSID0021834,5bc700fd-3e7a-48ac-98fd-da4de2d42608
DTXSID0021834,6db9a07d-f696-499e-a2e4-e6b8749d6142
DTXSID00218926,0b7fc161-8c1d-46b2-8e33-4a4986cdf496
DTXSID00219059,14d4dad6-ddfa-4808-afd8-643211035083
DTXSID0021961,920cd3b8-4d26-496f-9b99-99d77322fdfa
DTXSID0021969,44f6718b-632b-46d2-8a14-be4a41b1ea6a
DTXSID0021969,626a7f3e-c9ce-4799-9016-0550262894d1
DTXSID00220185,eb2083e6-ce16-4dba-8ff1-8e0242af9fc3
DTXSID0022141,2985c817-a937-4c86-9f40-ec4712d527a0
DTXSID0022197,5b51adb0-06a2-4761-b2d1-1495966d3047
DTXSID0022197,439f4b86-cd6a-4e0c-b427-965607db34e0
DTXSID0022519,4a30f7cd-00fd-4c23-998c-a3b429b10823
DTXSID0022519,a6d95dc6-000a-4086-90ee-93b91bfff4d0
DTXSID0022561,045a1c04-f0ab-4022-b67f-1513d73d4e0c
DTXSID0022563,88df0307-0b32-4459-ab46-afee8898a682
DTXSID0022563,4102364b-1c09-49b1-af56-d7ba6f086f65
DTXSID0022563,e618d25d-15f8-4b2f-bc89-6faf4cf46277
DTXSID0022563,f9b43af7-8008-4244-9ac5-c43bf7dd3c21
DTXSID00226167,aa3042f9-405e-442d-bbe3-0bf988f1559e
DTXSID00226167,58a9b7d5-f61d-403d-b860-40142b3c1658
DTXSID0022642,72ce4878-4975-4699-a77b-4418ba1c28c1
DTXSID0022694,dfe1b307-9172-4f0a-ac7c-8803e01bbf50
DTXSID0022725,cf2a2f32-f8ad-4ac0-8d43-95b9ccb6bd76
DTXSID0022725,2f7cf76a-863d-48c9-960b-d6f7367a120c
DTXSID0022725,d2a679ac-f061-4e72-a28a-c24d99ac7f9f
DTXSID0022725,1c8e8f7f-ec85-4655-88a8-135a816db439
DTXSID0022725,6e7f2762-9f95-4cca-8972-e2d0dcdef043
DTXSID0022773,f835d15b-4dbc-4517-a7c0-dc236ee3d975
DTXSID0022777,19b6b91b-1f69-4a01-b5f5-b0d2042e4fec
DTXSID0022800,e32866d3-0d6a-48b0-beda-9ab9bec60ffe
DTXSID0022804,d9d7b48a-7cef-436f-87ab-36ae85a53a49
DTXSID0022808,d7413bcd-fbdd-4d33-91e9-5be3be46a5d2
DTXSID0022808,80678ee3-88e0-4d93-9c5a-7bc04c831ff4
DTXSID0022933,409936ef-40dd-43a3-8f0d-3721d7641061
DTXSID0022935,5aa93b27-d0a7-426f-97b4-a55a6025de1c
DTXSID0022937,6c511441-79d7-405a-afde-15eca7b4913b
DTXSID0022985,610153bd-c659-47de-82f9-9bf18034f222
DTXSID0022985,7689350e-a7f1-466f-881f-db407ada2270
DTXSID0022989,c9e93ebe-cc0a-4a36-aca1-250d842f9c65
DTXSID0023088,99a2ecb1-c202-487b-849b-8a44ce1bb02a
DTXSID0023163,b686db4a-bfdc-4072-ae23-d73a2913689e
DTXSID0023169,e6ad2510-de7b-4c42-b4b2-0954bc5115e7
DTXSID0023169,acfd0130-5b8a-462f-842d-4bd6e6c653b1
DTXSID0023169,54fedaa0-173e-485c-95b2-fd55a89d831d
DTXSID0023169,0588d91d-fbe8-4a8e-a1cf-0d1d47b3df41
DTXSID0023169,d113df73-8526-482a-a325-872d361fbb08
DTXSID00232344,c6400708-99d8-4fa6-b0f4-c87c9a7e5755
DTXSID0023240,8da28b08-d710-40d9-bbbd-199b9e54afa6
DTXSID0023242,989822a6-d1d2-472a-8222-a1f72f7b266e
DTXSID0023290,f62bc9e4-e30a-4df1-849e-832a0779c443
DTXSID0023298,793c8d79-1d79-4750-948e-9fb96ece0443
DTXSID0023325,a556df18-7145-4467-9a0b-37e8769f513a
DTXSID0023325,9641af55-358d-4639-90bf-babda5d649dc
DTXSID0023325,2a6c0aa2-7d08-4b15-b574-76f9734262c2
DTXSID0023325,7b50c356-b081-490a-873c-ab38250d0c9c
